Cidade,Ano,Mês,y_true,yhat_mlp,data_ref
Pirenópolis,2024,4,58.2,44.47554397583008,2024-04-01
Palminópolis,2024,4,20.09,19.32290267944336,2024-04-01
Buriti de Goiás,2024,4,78.0,10.532453536987305,2024-04-01
Minaçu,2024,4,209.75,107.48823547363281,2024-04-01
Maurilândia,2024,4,34.48,29.86249351501465,2024-04-01
Petrolina de Goiás,2024,4,266.11,35.38335037231445,2024-04-01
Aurilândia,2024,4,23.0,15.953734397888184,2024-04-01
Abadia de Goiás,2024,4,235.56,16.77242660522461,2024-04-01
Pilar de Goiás,2024,4,5.04,44.15382385253906,2024-04-01
Buritinópolis,2024,4,4.0,20.15839195251465,2024-04-01
Piracanjuba,2024,4,168.64,92.83970642089844,2024-04-01
Piranhas,2024,4,62.58,56.51982498168945,2024-04-01
Terezópolis de Goiás,2024,4,80.0,8.958072662353516,2024-04-01
Teresina de Goiás,2024,4,8.0,34.661376953125,2024-04-01
Caiapônia,2024,4,78.0,117.46304321289062,2024-04-01
Moiporá,2024,4,31.0,19.168071746826172,2024-04-01
Palmelo,2024,4,5.6,-13.13880443572998,2024-04-01
Alto Horizonte,2024,4,14.46,31.05549430847168,2024-04-01
Montividiu,2024,4,12.48,103.63800811767578,2024-04-01
Amaralina,2024,4,36.0,38.2606086730957,2024-04-01
Caçu,2024,4,148.75,52.56451416015625,2024-04-01
Ouro Verde de Goiás,2024,4,22.64,13.014537811279297,2024-04-01
Britânia,2024,4,323.9,31.964752197265625,2024-04-01
Edealina,2024,4,33.6,117.67329406738281,2024-04-01
Ouvidor,2024,4,39.36,316.06927490234375,2024-04-01
Alvorada do Norte,2024,4,22.04,46.23386001586914,2024-04-01
Silvânia,2024,4,282.76,75.47760772705078,2024-04-01
Sítio D'Abadia,2024,4,13.0,41.70644760131836,2024-04-01
Padre Bernardo,2024,4,9.82,76.893310546875,2024-04-01
Cachoeira Dourada,2024,4,31.92,29.26980209350586,2024-04-01
