Cidade,Ano,Mês,y_true,yhat_mlp,data_ref
Jussara,2024,4,6234.26,4162.496,2024-04-01
Rio Verde,2024,4,48538.479999999996,35278.977,2024-04-01
Arenópolis,2024,4,601.95,647.62366,2024-04-01
Sanclerlândia,2024,4,2705.5,973.07153,2024-04-01
Avelinópolis,2024,4,280.12,813.6102,2024-04-01
Urutaí,2024,4,2692.25,-697.3684,2024-04-01
Abadiânia,2024,4,3175.58,1089.1555,2024-04-01
Formosa,2024,4,10384.42,3356.1465,2024-04-01
São João da Paraúna,2024,4,454.27,939.88116,2024-04-01
Palmeiras de Goiás,2024,4,9556.57,2779.9768,2024-04-01
Flores de Goiás,2024,4,753.44,864.4014,2024-04-01
Palmelo,2024,4,547.87,-694.3886,2024-04-01
Cavalcante,2024,4,147.51,477.04605,2024-04-01
Aurilândia,2024,4,451.08,1127.0734,2024-04-01
Aparecida de Goiânia,2024,4,55370.06,20601.297,2024-04-01
Lagoa Santa,2024,4,313.03,229.8236,2024-04-01
Santa Helena de Goiás,2024,4,6439.83,2951.705,2024-04-01
Cachoeira Alta,2024,4,1694.64,-451.39932,2024-04-01
Crixás,2024,4,1899.47,5173.243,2024-04-01
Santo Antônio de Goiás,2024,4,2540.57,1175.08,2024-04-01
Cocalzinho de Goiás,2024,4,2987.22,1519.8597,2024-04-01
Mossâmedes,2024,4,1020.23,554.4503,2024-04-01
Itumbiara,2024,4,30071.530000000002,31069.338,2024-04-01
Terezópolis de Goiás,2024,4,623.95,593.2216,2024-04-01
Pontalina,2024,4,5892.96,796.3815,2024-04-01
Aporé,2024,4,435.39,791.2677,2024-04-01
Caldas Novas,2024,4,64062.22,44538.484,2024-04-01
Itaguaru,2024,4,842.34,780.4795,2024-04-01
Alvorada do Norte,2024,4,619.6,1149.5625,2024-04-01
Itaguari,2024,4,1106.34,1265.4698,2024-04-01
Caldas Novas,2024,4,63270.72,44538.484,2024-04-01
Mozarlândia,2024,4,3575.7799999999997,6169.83,2024-04-01
Itaberaí,2024,4,11533.98,3627.1992,2024-04-01
Campinaçu,2024,4,316.32,37.93138,2024-04-01
Serranópolis,2024,4,964.86,895.5356,2024-04-01
Brazabrantes,2024,4,693.2,467.56943,2024-04-01
Campinorte,2024,4,1993.42,1839.6431,2024-04-01
São Francisco de Goiás,2024,4,871.72,838.3564,2024-04-01
Trindade,2024,4,16250.1,7820.4688,2024-04-01
Israelândia,2024,4,742.32,517.71313,2024-04-01
Mutunópolis,2024,4,479.27,1094.433,2024-04-01
Nova Iguaçu de Goiás,2024,4,516.28,1076.7494,2024-04-01
Alexânia,2024,4,3593.2400000000002,1288.553,2024-04-01
Nazário,2024,4,1627.98,1482.7607,2024-04-01
Iporá,2024,4,6644.88,3166.4783,2024-04-01
Amaralina,2024,4,250.5,1148.578,2024-04-01
Ivolândia,2024,4,586.34,1100.6,2024-04-01
Mundo Novo,2024,4,817.83,943.62866,2024-04-01
Quirinópolis,2024,4,10825.24,3902.9846,2024-04-01
Porangatu,2024,4,11942.17,6040.526,2024-04-01
Morro Agudo de Goiás,2024,4,264.16,1024.4886,2024-04-01
Itauçu,2024,4,1163.52,228.08282,2024-04-01
Moiporá,2024,4,332.52,1398.889,2024-04-01
