Cidade,Ano,Mês,y_true,yhat_xgb,data_ref
Pirenópolis,2024,4,58.2,101.448814,2024-04-01
Palminópolis,2024,4,20.09,42.657585,2024-04-01
Buriti de Goiás,2024,4,78.0,23.677921,2024-04-01
Minaçu,2024,4,209.75,117.18923,2024-04-01
Maurilândia,2024,4,34.48,38.94335,2024-04-01
Petrolina de Goiás,2024,4,266.11,40.112858,2024-04-01
Aurilândia,2024,4,23.0,38.888435,2024-04-01
Abadia de Goiás,2024,4,235.56,80.02791,2024-04-01
Pilar de Goiás,2024,4,5.04,37.267628,2024-04-01
Buritinópolis,2024,4,4.0,23.630466,2024-04-01
Piracanjuba,2024,4,168.64,93.942825,2024-04-01
Piranhas,2024,4,62.58,73.2062,2024-04-01
Terezópolis de Goiás,2024,4,80.0,49.08799,2024-04-01
Teresina de Goiás,2024,4,8.0,20.80634,2024-04-01
Caiapônia,2024,4,78.0,99.8901,2024-04-01
Moiporá,2024,4,31.0,22.575993,2024-04-01
Palmelo,2024,4,5.6,21.543009,2024-04-01
Alto Horizonte,2024,4,14.46,37.542114,2024-04-01
Montividiu,2024,4,12.48,85.22684,2024-04-01
Amaralina,2024,4,36.0,29.267183,2024-04-01
Caçu,2024,4,148.75,65.83066,2024-04-01
Ouro Verde de Goiás,2024,4,22.64,32.64276,2024-04-01
Britânia,2024,4,323.9,80.13033,2024-04-01
Edealina,2024,4,33.6,118.410545,2024-04-01
Ouvidor,2024,4,39.36,331.27942,2024-04-01
Alvorada do Norte,2024,4,22.04,43.948833,2024-04-01
Silvânia,2024,4,282.76,97.27538,2024-04-01
Sítio D'Abadia,2024,4,13.0,42.661274,2024-04-01
Padre Bernardo,2024,4,9.82,119.96768,2024-04-01
Cachoeira Dourada,2024,4,31.92,51.20503,2024-04-01
Anicuns,2024,4,64.2,73.29376,2024-04-01
Palestina de Goiás,2024,4,169.0,31.340248,2024-04-01
Montes Claros de Goiás,2024,4,80.95,52.106853,2024-04-01
Palmeiras de Goiás,2024,4,109.02,137.57986,2024-04-01
Buriti Alegre,2024,4,55.5,55.87838,2024-04-01
Três Ranchos,2024,4,73.61,31.924152,2024-04-01
Aruanã,2024,4,235.08,76.77531,2024-04-01
Edéia,2024,4,55.6,51.0559,2024-04-01
Cachoeira Alta,2024,4,32.0,52.63165,2024-04-01
Avelinópolis,2024,4,35.0,23.856813,2024-04-01
São Patrício,2024,4,3.0,23.049587,2024-04-01
Hidrolândia,2024,4,268.56,110.50815,2024-04-01
Bela Vista de Goiás,2024,4,269.66,172.64055,2024-04-01
Ivolândia,2024,4,25.0,34.203747,2024-04-01
Goianira,2024,4,154.62,125.11129,2024-04-01
Jandaia,2024,4,68.82,39.44568,2024-04-01
Sanclerlândia,2024,4,31.0,41.846436,2024-04-01
São João da Paraúna,2024,4,22.0,41.5726,2024-04-01
Jaraguá,2024,4,268.88,130.58379,2024-04-01
Catalão,2024,4,590.99,479.0689,2024-04-01
Jataí,2024,4,534.94,474.44086,2024-04-01
Rubiataba,2024,4,94.0,60.35208,2024-04-01
Vicentinópolis,2024,4,50.04,43.281246,2024-04-01
Goiânia,2024,4,11144.28,5081.7725,2024-04-01
São João D'Aliança,2024,4,82.38,78.61594,2024-04-01
Jaupaci,2024,4,36.04,23.812382,2024-04-01
Posse,2024,4,77.6,79.60601,2024-04-01
Turvelândia,2024,4,24.43,41.936176,2024-04-01
Joviânia,2024,4,9.0,47.232,2024-04-01
Rio Verde,2024,4,1080.54,950.4763,2024-04-01
Castelândia,2024,4,4.6,23.797329,2024-04-01
Jussara,2024,4,231.1,145.62274,2024-04-01
Goianésia,2024,4,631.72,203.04872,2024-04-01
Castelândia,2024,4,4.6,23.797329,2024-04-01
Santa Bárbara de Goiás,2024,4,34.24,34.492214,2024-04-01
Aragarças,2024,4,200.96,65.35206,2024-04-01
Itumbiara,2024,4,1082.64,659.7905,2024-04-01
Corumbaíba,2024,4,164.02,87.94628,2024-04-01
Itaguaru,2024,4,14.0,28.985573,2024-04-01
Gouvelândia,2024,4,38.0,35.64632,2024-04-01
Itapaci,2024,4,178.84,102.62742,2024-04-01
Cezarina,2024,4,55.9,69.77763,2024-04-01
Itapirapuã,2024,4,79.25,36.15611,2024-04-01
Santa Helena de Goiás,2024,4,239.99,192.62067,2024-04-01
São Francisco de Goiás,2024,4,10.0,37.542114,2024-04-01
Vianópolis,2024,4,60.48,99.66482,2024-04-01
Itapuranga,2024,4,44.8,91.59792,2024-04-01
Santa Fé de Goiás,2024,4,36.98,54.476677,2024-04-01
Ceres,2024,4,155.61,82.83531,2024-04-01
Goiatuba,2024,4,202.06,191.48598,2024-04-01
Itarumã,2024,4,25.34,38.544937,2024-04-01
Cristalina,2024,4,365.0,368.8972,2024-04-01
Itauçu,2024,4,12.1,34.951797,2024-04-01
Santa Cruz de Goiás,2024,4,14.95,33.059895,2024-04-01
Cavalcante,2024,4,4.0,29.659784,2024-04-01
Caturaí,2024,4,15.0,34.279842,2024-04-01
Goiás,2024,4,116.68,97.99293,2024-04-01
Lagoa Santa,2024,4,22.84,16.74952,2024-04-01
São Miguel do Araguaia,2024,4,107.01,97.341286,2024-04-01
Leopoldo de Bulhões,2024,4,33.8,38.94335,2024-04-01
Vila Propício,2024,4,59.0,52.235756,2024-04-01
Aragoiânia,2024,4,70.24,49.648685,2024-04-01
Professor Jamil,2024,4,9.0,34.25928,2024-04-01
Mairipotaba,2024,4,58.0,30.053604,2024-04-01
Abadiânia,2024,4,104.6,81.90937,2024-04-01
Crixás,2024,4,73.73,112.25776,2024-04-01
Águas Lindas de Goiás,2024,4,155.0,168.09119,2024-04-01
Campos Verdes,2024,4,12.0,31.851292,2024-04-01
Carmo do Rio Verde,2024,4,51.0,36.83529,2024-04-01
Aparecida de Goiânia,2024,4,1865.38,1073.2599,2024-04-01
Goianápolis,2024,4,26.24,50.14368,2024-04-01
São Miguel do Passa Quatro,2024,4,6.0,37.86445,2024-04-01
Morrinhos,2024,4,234.76,235.67653,2024-04-01
Quirinópolis,2024,4,471.0,248.23805,2024-04-01
Rio Quente,2024,4,56.52,61.334106,2024-04-01
Campo Limpo de Goiás,2024,4,2.8,51.34246,2024-04-01
Montividiu do Norte,2024,4,15.0,18.33777,2024-04-01
Mara Rosa,2024,4,57.7,177.58044,2024-04-01
Goiandira,2024,4,36.4,33.093655,2024-04-01
Rianápolis,2024,4,41.32,31.017136,2024-04-01
Luziânia,2024,4,270.14,540.38635,2024-04-01
Morro Agudo de Goiás,2024,4,4.64,21.49708,2024-04-01
Marzagão,2024,4,7.2,24.240814,2024-04-01
Campos Belos,2024,4,24.25,48.14704,2024-04-01
Cromínia,2024,4,42.0,30.517284,2024-04-01
Barro Alto,2024,4,15.0,60.14798,2024-04-01
Gameleira de Goiás,2024,4,5.0,39.510975,2024-04-01
Aporé,2024,4,17.44,39.09655,2024-04-01
Moiporá,2024,5,3.92,29.472654,2024-05-01
Taquaral de Goiás,2024,5,28.0,54.9372,2024-05-01
Uirapuru,2024,5,15.7,47.149117,2024-05-01
Matrinchã,2024,5,47.6,57.413204,2024-05-01
Santo Antônio de Goiás,2024,5,73.96,75.145775,2024-05-01
Uruaçu,2024,5,396.62,209.56772,2024-05-01
Cristalina,2024,5,409.58,547.4357,2024-05-01
Fazenda Nova,2024,5,38.0,44.93856,2024-05-01
São Simão,2024,5,295.06,58.209084,2024-05-01
Terezópolis de Goiás,2024,5,8.0,65.059525,2024-05-01
Cromínia,2024,5,41.44,41.597313,2024-05-01
Gouvelândia,2024,5,36.29,49.663254,2024-05-01
Gameleira de Goiás,2024,5,52.6,50.423256,2024-05-01
Hidrolândia,2024,5,340.84,170.11122,2024-05-01
Formoso,2024,5,58.6,61.33662,2024-05-01
Goiatuba,2024,5,269.03,246.37045,2024-05-01
Guapó,2024,5,2241.0,113.41953,2024-05-01
São Francisco de Goiás,2024,5,37.92,50.04532,2024-05-01
Turvânia,2024,5,2.8,41.120285,2024-05-01
Goianápolis,2024,5,58.68,70.10892,2024-05-01
Maurilândia,2024,5,90.09,55.989754,2024-05-01
Mineiros,2024,5,482.32,307.76566,2024-05-01
Trombas,2024,5,40.08,52.66932,2024-05-01
Minaçu,2024,5,229.91,143.18677,2024-05-01
Goiás,2024,5,129.11,164.91899,2024-05-01
Montes Claros de Goiás,2024,5,40.35,75.56202,2024-05-01
Lagoa Santa,2024,5,22.7,13.614767,2024-05-01
Firminópolis,2024,5,83.6,70.16407,2024-05-01
Doverlândia,2024,5,36.48,52.025322,2024-05-01
Estrela do Norte,2024,5,16.28,71.7382,2024-05-01
Guarani de Goiás,2024,5,3.0,79.39422,2024-05-01
Heitoraí,2024,5,6.0,53.707317,2024-05-01
Anápolis,2024,5,1394.7,2573.023,2024-05-01
Goiandira,2024,5,48.88,40.19064,2024-05-01
Turvelândia,2024,5,40.52,72.34552,2024-05-01
Faina,2024,5,13.9,51.13035,2024-05-01
Guarinos,2024,5,11.5,50.466526,2024-05-01
Crixás,2024,5,71.96,160.49556,2024-05-01
Goianésia,2024,5,416.3,234.61966,2024-05-01
Serranópolis,2024,5,101.0,48.13258,2024-05-01
São Miguel do Araguaia,2024,5,231.32,141.25526,2024-05-01
Trindade,2024,5,925.84,599.5848,2024-05-01
Cristianópolis,2024,5,19.6,52.246105,2024-05-01
Goiânia,2024,5,6479.23,7031.9976,2024-05-01
Montividiu,2024,5,55.0,164.9268,2024-05-01
Monte Alegre de Goiás,2024,5,51.0,24.233767,2024-05-01
Formosa,2024,5,350.71,423.19687,2024-05-01
Água Limpa,2024,5,9.9,31.353285,2024-05-01
Aparecida do Rio Doce,2024,5,51.12,73.96172,2024-05-01
São Miguel do Passa Quatro,2024,5,15.0,43.255035,2024-05-01
Flores de Goiás,2024,5,18.65,63.493565,2024-05-01
Anicuns,2024,5,65.3,118.9728,2024-05-01
Guaraíta,2024,5,30.0,45.118977,2024-05-01
Diorama,2024,5,34.48,32.522785,2024-05-01
São João da Paraúna,2024,5,10.0,66.98832,2024-05-01
Silvânia,2024,5,144.66,172.02934,2024-05-01
Senador Canedo,2024,5,728.5,883.66296,2024-05-01
Goianira,2024,5,438.14,148.7106,2024-05-01
Aparecida de Goiânia,2024,5,1831.81,2445.6396,2024-05-01
Edealina,2024,5,76.6,158.95316,2024-05-01
Três Ranchos,2024,5,56.34,39.021137,2024-05-01
Corumbaíba,2024,5,64.36,172.85133,2024-05-01
Santo Antônio do Descoberto,2024,5,147.72,135.05415,2024-05-01
Jandaia,2024,5,98.9,58.478317,2024-05-01
Itaguaru,2024,5,101.8,43.519,2024-05-01
