Cidade,Ano,Mês,y_true,yhat_xgb,data_ref
Jussara,2024,4,6234.26,2603.9436,2024-04-01
Rio Verde,2024,4,48538.479999999996,28064.998,2024-04-01
Arenópolis,2024,4,601.95,377.27393,2024-04-01
Sanclerlândia,2024,4,2705.5,320.58453,2024-04-01
Avelinópolis,2024,4,280.12,341.89246,2024-04-01
Urutaí,2024,4,2692.25,153.10387,2024-04-01
Abadiânia,2024,4,3175.58,1120.1438,2024-04-01
Formosa,2024,4,10384.42,10701.468,2024-04-01
São João da Paraúna,2024,4,454.27,448.5199,2024-04-01
Palmeiras de Goiás,2024,4,9556.57,3792.4658,2024-04-01
Flores de Goiás,2024,4,753.44,1018.0652,2024-04-01
Palmelo,2024,4,547.87,93.68915,2024-04-01
Cavalcante,2024,4,147.51,1995.7964,2024-04-01
Aurilândia,2024,4,451.08,616.00055,2024-04-01
Aparecida de Goiânia,2024,4,55370.06,29199.611,2024-04-01
Lagoa Santa,2024,4,313.03,-336.96906,2024-04-01
Santa Helena de Goiás,2024,4,6439.83,3020.0505,2024-04-01
Cachoeira Alta,2024,4,1694.64,329.42346,2024-04-01
Crixás,2024,4,1899.47,1715.5255,2024-04-01
Santo Antônio de Goiás,2024,4,2540.57,577.0373,2024-04-01
Cocalzinho de Goiás,2024,4,2987.22,1120.1438,2024-04-01
Mossâmedes,2024,4,1020.23,330.90582,2024-04-01
Itumbiara,2024,4,30071.530000000002,13350.586,2024-04-01
Terezópolis de Goiás,2024,4,623.95,577.0373,2024-04-01
Pontalina,2024,4,5892.96,2365.3083,2024-04-01
Aporé,2024,4,435.39,37.45071,2024-04-01
Caldas Novas,2024,4,64062.22,34083.414,2024-04-01
Itaguaru,2024,4,842.34,261.16983,2024-04-01
Alvorada do Norte,2024,4,619.6,625.2683,2024-04-01
Itaguari,2024,4,1106.34,577.0373,2024-04-01
Caldas Novas,2024,4,63270.72,34083.414,2024-04-01
Mozarlândia,2024,4,3575.7799999999997,4371.7715,2024-04-01
Itaberaí,2024,4,11533.98,3297.7056,2024-04-01
Campinaçu,2024,4,316.32,3063.1213,2024-04-01
Serranópolis,2024,4,964.86,37.45071,2024-04-01
Brazabrantes,2024,4,693.2,507.30127,2024-04-01
Campinorte,2024,4,1993.42,2733.046,2024-04-01
São Francisco de Goiás,2024,4,871.72,320.58453,2024-04-01
Trindade,2024,4,16250.1,16331.164,2024-04-01
Israelândia,2024,4,742.32,250.84853,2024-04-01
Mutunópolis,2024,4,479.27,542.6827,2024-04-01
Nova Iguaçu de Goiás,2024,4,516.28,329.6543,2024-04-01
Alexânia,2024,4,3593.2400000000002,1089.6782,2024-04-01
Nazário,2024,4,1627.98,815.45996,2024-04-01
Iporá,2024,4,6644.88,3889.964,2024-04-01
Amaralina,2024,4,250.5,377.27393,2024-04-01
Ivolândia,2024,4,586.34,377.27393,2024-04-01
Mundo Novo,2024,4,817.83,625.2683,2024-04-01
Quirinópolis,2024,4,10825.24,6219.002,2024-04-01
Porangatu,2024,4,11942.17,5692.257,2024-04-01
Morro Agudo de Goiás,2024,4,264.16,473.23816,2024-04-01
Itauçu,2024,4,1163.52,320.58453,2024-04-01
Moiporá,2024,4,332.52,473.23816,2024-04-01
Itarumã,2024,4,1751.23,625.2683,2024-04-01
Sítio D'Abadia,2024,4,173.12,625.2683,2024-04-01
Montes Claros de Goiás,2024,4,2107.01,1219.8187,2024-04-01
Buriti Alegre,2024,4,2683.5299999999997,2396.7642,2024-04-01
Buriti de Goiás,2024,4,777.35,507.30127,2024-04-01
Caldazinha,2024,4,748.09,616.00055,2024-04-01
Montividiu,2024,4,3435.75,1051.1514,2024-04-01
São Simão,2024,4,3711.25,491.53937,2024-04-01
Taquaral de Goiás,2024,4,673.3000000000001,341.89246,2024-04-01
Aloândia,2024,4,521.16,2236.7454,2024-04-01
Britânia,2024,4,3139.0,3810.2148,2024-04-01
Itapuranga,2024,4,4722.45,1384.0408,2024-04-01
Silvânia,2024,4,6401.41,2796.686,2024-04-01
Teresina de Goiás,2024,4,251.84,250.84853,2024-04-01
Itapirapuã,2024,4,1591.67,496.31473,2024-04-01
Cristalina,2024,4,9925.7,7233.144,2024-04-01
Posse,2024,4,2692.55,1095.2078,2024-04-01
Mineiros,2024,4,23903.24,8430.475,2024-04-01
Professor Jamil,2024,4,797.44,153.82559,2024-04-01
Morrinhos,2024,4,12038.05,6454.075,2024-04-01
Campestre de Goiás,2024,4,947.8399999999999,250.84853,2024-04-01
Itapaci,2024,4,8747.49,2720.1116,2024-04-01
Buritinópolis,2024,4,108.0,866.11975,2024-04-01
Itajá,2024,4,735.8,-210.54361,2024-04-01
